Date,Action,Price,Profit,Reason
2023-08-07 04:00:00+00:00,SHORT,1.0999890565872192,,
2023-09-21 23:00:00+00:00,BUY,1.0663254261016846,,
2023-09-21 23:00:00+00:00,COVER,1.0663254261016846,0.03366,CROSSOVER
2023-09-22 00:00:00+00:00,SHORT,1.0660980939865112,,
2023-09-22 00:00:00+00:00,SELL,1.0660980939865112,-0.00023,CROSSOVER
2023-11-13 05:00:00+00:00,BUY,1.0688328742980957,,
2023-11-13 05:00:00+00:00,COVER,1.0688328742980957,-0.00273,CROSSOVER
2023-11-14 02:00:00+00:00,SHORT,1.0700910091400146,,
2023-11-14 02:00:00+00:00,SELL,1.0700910091400146,0.00126,CROSSOVER
2023-12-28 23:00:00+00:00,BUY,1.1069294214248655,,
2023-12-28 23:00:00+00:00,COVER,1.1069294214248655,-0.03684,CROSSOVER
2024-01-17 02:00:00+00:00,SHORT,1.0877841711044312,,
2024-01-17 02:00:00+00:00,SELL,1.0877841711044312,-0.01915,CROSSOVER
2024-02-09 22:00:00+00:00,BUY,1.0787487030029297,,
2024-02-09 22:00:00+00:00,COVER,1.0787487030029297,0.00904,CROSSOVER
2024-02-22 22:00:00+00:00,SHORT,1.082602620124817,,
2024-02-22 22:00:00+00:00,SELL,1.082602620124817,0.00385,CROSSOVER
2024-02-22 23:00:00+00:00,BUY,1.0828369855880735,,
2024-02-22 23:00:00+00:00,COVER,1.0828369855880735,-0.00023,CROSSOVER
2024-02-23 20:00:00+00:00,SHORT,1.0824854373931885,,
2024-02-23 20:00:00+00:00,SELL,1.0824854373931885,-0.00035,CROSSOVER
2024-03-18 06:00:00+00:00,BUY,1.0890873670578003,,
2024-03-18 06:00:00+00:00,COVER,1.0890873670578003,-0.0066,CROSSOVER
2024-04-12 00:00:00+00:00,SHORT,1.072846293449402,,
2024-04-12 00:00:00+00:00,SELL,1.072846293449402,-0.01624,CROSSOVER
2024-05-13 23:00:00+00:00,BUY,1.0794472694396973,,
2024-05-13 23:00:00+00:00,COVER,1.0794472694396973,-0.0066,CROSSOVER
2024-05-14 01:00:00+00:00,SHORT,1.079097867012024,,
2024-05-14 01:00:00+00:00,SELL,1.079097867012024,-0.00035,CROSSOVER
2024-05-27 06:00:00+00:00,BUY,1.0854227542877195,,
2024-05-27 06:00:00+00:00,COVER,1.0854227542877195,-0.00632,CROSSOVER
2024-05-31 01:00:00+00:00,SHORT,1.08236825466156,,
2024-05-31 01:00:00+00:00,SELL,1.08236825466156,-0.00305,CROSSOVER
2024-06-06 23:00:00+00:00,BUY,1.0894432067871094,,
2024-06-06 23:00:00+00:00,COVER,1.0894432067871094,-0.00707,CROSSOVER
2024-06-27 00:00:00+00:00,SHORT,1.0681477785110474,,
2024-06-27 00:00:00+00:00,SELL,1.0681477785110474,-0.0213,CROSSOVER
2024-07-23 02:00:00+00:00,BUY,1.0894432067871094,,
2024-07-23 02:00:00+00:00,COVER,1.0894432067871094,-0.0213,CROSSOVER
2024-07-25 00:00:00+00:00,SHORT,1.0842459201812744,,
2024-07-25 00:00:00+00:00,SELL,1.0842459201812744,-0.0052,CROSSOVER
2024-07-25 02:00:00+00:00,BUY,1.0842459201812744,,
2024-07-25 02:00:00+00:00,COVER,1.0842459201812744,0.0,CROSSOVER
2024-07-25 12:00:00+00:00,SHORT,1.0853049755096436,,
2024-07-25 12:00:00+00:00,SELL,1.0853049755096436,0.00106,CROSSOVER
2024-08-12 23:00:00+00:00,BUY,1.0938525199890137,,
2024-08-12 23:00:00+00:00,COVER,1.0938525199890137,-0.00855,CROSSOVER
2024-08-20 00:00:00+00:00,SHORT,1.1085245609283447,,
2024-08-20 00:00:00+00:00,SELL,1.1085245609283447,0.01467,CROSSOVER
2024-10-01 02:00:00+00:00,BUY,1.1142061948776243,,
2024-10-01 02:00:00+00:00,COVER,1.1142061948776243,-0.00568,CROSSOVER
2024-11-13 16:00:00+00:00,SELL,1.056859016418457,-0.05735,STOP-LOSS
2024-12-05 00:00:00+00:00,BUY,1.0516352653503418,,
2025-02-06 14:00:00+00:00,SHORT,1.0364842414855957,,
2025-02-06 14:00:00+00:00,SELL,1.0364842414855957,-0.01515,CROSSOVER
2025-03-11 07:00:00+00:00,COVER,1.089680790901184,-0.0532,STOP-LOSS
2025-03-13 00:00:00+00:00,SHORT,1.0894432067871094,,
2025-03-13 01:00:00+00:00,BUY,1.089205980300903,,
2025-03-13 01:00:00+00:00,COVER,1.089205980300903,0.00024,CROSSOVER
2025-06-26 11:00:00+00:00,SHORT,1.169864296913147,,
2025-06-26 11:00:00+00:00,SELL,1.169864296913147,0.08066,CROSSOVER
